genome	role	n_contigs	n_genes	total_gene_bp	contig_bp	gene_frac_of_genome	n_mapped_genes	frac_genes_mapped	n_selected_pairs
AG-896-A02	reference	23	1262	1169502	1230581	0.950366	778	0.616482	1
AG-896-D15	query	40	1101	1016796	1074969	0.945884	661	0.600363	1
AG-896-G07	query	33	1289	1173423	1239260	0.946874	728	0.564779	2
AG-897-G09	reference	25	1347	1242813	1297415	0.957915	1082	0.803267	1
AG-897-G15	query	25	1115	1002909	1052562	0.952827	328	0.29417	1
AG-897-O11	query	35	1156	1028145	1091099	0.942302	274	0.237024	1
AG-898-C07	query	26	1191	1076340	1133988	0.949163	168	0.141058	1
AG-898-F23	query	30	1137	1052733	1104587	0.953056	471	0.414248	1
AG-898-G21	query	28	1179	1090368	1149198	0.948808	383	0.324852	1
AG-898-J19	reference	22	1166	1046382	1095549	0.955121	892	0.765009	1
AG-899-C09	query	23	1284	1147785	1205317	0.952268	1181	0.919782	1
AG-899-C14	reference	29	1320	1190325	1250179	0.952124	13	0.009848	1
AG-899-G03	reference	43	994	898992	957889	0.938514	789	0.793763	2
AG-899-J02	query	26	1285	1150557	1207928	0.952505	631	0.491051	1
AG-899-N21	both	37	1285	1141629	1206609	0.946147	783	0.609339	6
AG-899-P08	query	30	1261	1317288	1387253	0.949566	969	0.768438	1
AG-900-G22	reference	37	1164	1072476	1134754	0.945118	781	0.670962	1
AG-900-I19	query	33	1240	1138185	1191560	0.955206	1001	0.807258	1
AG-901-D23	reference	40	1282	1353342	1435942	0.942477	1164	0.907956	1
AG-903-C11	query	41	1247	1126392	1192898	0.944248	1141	0.914996	1
AG-903-D02	both	22	1215	1091979	1151063	0.94867	1129	0.929218	3
AG-903-F09	reference	32	1134	1021773	1077502	0.948279	815	0.718695	2
AG-903-K22	both	30	1121	1004061	1065989	0.941906	1065	0.950045	5
AG-904-K03	both	26	1400	1289262	1348513	0.956062	1373	0.980714	2
AG-905-A10	query	36	1041	924915	992894	0.931534	937	0.900096	3
AG-905-E11	reference	28	1374	1259589	1320466	0.953897	570	0.414847	1
AG-905-O08	reference	34	1259	1140873	1210555	0.942438	752	0.597299	1
AG-905-O21	reference	38	1384	1290369	1358123	0.950112	14	0.010116	1
AG-905-P05	query	27	1245	1153056	1211492	0.951765	270	0.216867	1
AG-907-B04	query	37	1169	1064313	1117429	0.952466	1076	0.920445	1
AG-907-F09	reference	38	1264	1155924	1215757	0.950785	134	0.106013	1
AG-908-I10	reference	41	1086	958590	1023052	0.93699	270	0.248619	1
AG-909-G08	reference	22	1194	1069455	1120457	0.954481	189	0.158291	1
AG-909-N22	query	13	981	867393	909068	0.954156	72	0.073394	1
AG-910-E21	query	31	1084	986727	1040154	0.948635	711	0.655904	1
AG-910-G11	reference	34	983	892383	942715	0.94661	467	0.475076	1
AG-910-J22	reference	36	1140	1041855	1096647	0.950037	862	0.75614	1
AG-910-M23	query	32	1077	961572	1019154	0.9435	748	0.694522	2
AG-911-B04	query	12	967	874206	916014	0.954359	858	0.88728	2
AG-911-D18	both	31	1079	952161	1009246	0.943438	745	0.690454	3
AG-911-G03	query	28	1226	1109091	1172480	0.945936	933	0.761011	2
AG-911-G16	query	36	1208	1098093	1156206	0.949738	766	0.634106	2
AG-911-I16	query	37	1113	1000269	1066821	0.937617	812	0.72956	1
AG-911-K05	reference	33	1149	1062927	1116761	0.951795	661	0.575283	1
AG-911-N14	reference	18	1232	1132155	1177651	0.961367	117	0.094968	1
AG-912-C08	reference	23	1141	1027464	1073849	0.956805	986	0.864154	1
AG-912-F16	reference	21	1211	1090833	1149025	0.949355	1133	0.93559	3
AG-912-I02	reference	25	1372	1273314	1329628	0.957647	117	0.085277	1
AG-913-A04	query	24	1154	1029762	1082829	0.950992	867	0.7513	1
AG-913-G10	reference	21	1134	1046082	1100860	0.950241	961	0.847443	1
AG-913-I22	reference	27	916	829242	871484	0.951529	88	0.09607	1
AG-913-I23	query	36	1357	1442253	1541975	0.935328	1166	0.859248	1
AG-913-M07	query	40	1530	1430421	1503039	0.951686	1103	0.720915	2
AG-913-O18	query	36	1251	1141710	1198263	0.952804	135	0.107914	1
AG-914-L03	query	44	1117	1037514	1099116	0.943953	894	0.800358	1
AG-915-C06	reference	38	1307	1191213	1262066	0.94386	441	0.337414	1
AG-915-E06	query	20	1096	991869	1043092	0.950893	858	0.782847	1
AG-915-G13	query	31	1288	1178289	1237317	0.952294	752	0.583851	1
AG-915-G14	both	27	1356	1250265	1317965	0.948633	1048	0.772861	2
AG-915-K13	query	17	1322	1194480	1246338	0.958392	1077	0.814675	2
AG-916-A21	reference	25	1090	991929	1044250	0.949896	879	0.806422	1
AG-916-B06	query	36	1222	1116381	1176935	0.948549	1087	0.889525	1
AG-916-E15	reference	43	1141	1188576	1276542	0.93109	965	0.845749	1
AG-916-E19	reference	32	1312	1186737	1246502	0.952054	697	0.53125	2
AG-916-G03	query	23	964	889659	934332	0.952187	32	0.033195	1
AG-916-M06	reference	37	1135	1006050	1065066	0.944589	864	0.761233	2
AG-916-M14	reference	16	1477	1307067	1372887	0.952057	1180	0.798917	1
AG-916-M15	reference	35	1199	1071474	1131288	0.947128	1095	0.913261	3
AG-916-O06	reference	27	972	860346	915062	0.940205	39	0.040123	1
AG-916-P21	query	23	993	903693	947012	0.954257	150	0.151057	1
AG-917-C08	reference	23	1295	1153455	1216429	0.94823	1137	0.877992	2
AG-917-C11	both	33	1186	1060017	1126265	0.941179	1074	0.905565	3
AG-917-I17	reference	14	1209	1122759	1176634	0.954213	1026	0.848635	2
AG-917-M17	query	34	1159	1032390	1086985	0.949774	883	0.761864	1
AG-917-M22	reference	38	1185	1058016	1126299	0.939374	745	0.628692	1
AG-917-P07	both	37	1219	1094769	1162448	0.941779	1178	0.966366	5
AG-918-B06	query	32	1175	1090176	1150377	0.947668	687	0.584681	2
AG-918-E02	query	26	1311	1201584	1261292	0.952661	967	0.737605	1
AG-918-E06	reference	41	1040	916311	973692	0.941069	470	0.451923	1
AG-918-G15	reference	27	1249	1163205	1219305	0.95399	91	0.072858	1
AG-918-G22	query	25	1407	1299399	1358899	0.956215	39	0.027719	1
AG-918-L21	query	43	1247	1109238	1178199	0.941469	1054	0.845229	2
AG-918-M15	query	26	1047	942135	991549	0.950165	414	0.395415	1
AG-918-P10	reference	35	1211	1111554	1170220	0.949868	535	0.441784	1
AG-919-L14	query	49	1023	922938	980443	0.941348	789	0.771261	1
AG-919-N08	reference	24	1415	1269924	1327229	0.956824	880	0.621908	1
AG-920-J04	query	25	1199	1063638	1125663	0.944899	134	0.11176	1
AG-920-K11	both	33	1056	926457	989689	0.936109	976	0.924242	3
AG-920-O11	both	25	1056	957438	1015455	0.942866	974	0.922348	2
AH-287-B07	reference	31	1260	1149132	1206709	0.952286	674	0.534921	1
AH-287-E08	reference	34	1065	965223	1018888	0.94733	302	0.283568	1
AH-287-E09	reference	53	1197	1071390	1149207	0.932286	566	0.472849	1
AH-321-G15	reference	33	939	863868	913227	0.945951	231	0.246006	1
AH-321-K15	reference	31	1088	980379	1034696	0.947504	238	0.21875	1
