reference	query	s_gene	s_seq	s_start	s_end	s_strand	s_gene_bp	n_hsps	sum_aln_len	sum_nident	identity_pct	distance	in_selected_pairs
AG-325-L02	AG-896-G07	AG-325-L02_00264	AG-325-L02_NODE_1	236978	237958	+	981	1	985	793.99865	80.609	0.19391	1
AG-325-L02	AG-896-G07	AG-325-L02_00273	AG-325-L02_NODE_1	244193	245062	-	870	1	853	664.00079	77.843	0.22157	1
AG-325-L02	AG-896-G07	AG-325-L02_00279	AG-325-L02_NODE_1	250325	251182	-	858	1	857	683.00329	79.697	0.20303	1
AG-325-L02	AG-896-G07	AG-325-L02_00280	AG-325-L02_NODE_1	251239	252123	+	885	1	888	724.00416	81.532	0.18468	1
AG-325-L02	AG-896-G07	AG-325-L02_00295	AG-325-L02_NODE_1	267337	268479	-	1143	1	1149	913.99503	79.547	0.20453	1
AG-325-L02	AG-896-G07	AG-325-L02_00296	AG-325-L02_NODE_1	268575	269585	+	1011	1	1014	868.998	85.7	0.143	1
AG-325-L02	AG-896-G07	AG-325-L02_00298	AG-325-L02_NODE_1	270131	271462	+	1332	1	1321	1109.99667	84.027	0.15973	1
AG-325-L02	AG-896-G07	AG-325-L02_00304	AG-325-L02_NODE_1	276556	278496	+	1941	1	1955	1572.993	80.46	0.1954	1
AG-325-L02	AG-896-G07	AG-325-L02_00305	AG-325-L02_NODE_1	278487	279503	+	1017	1	1008	849.996	84.325	0.15675	1
AG-325-L02	AG-896-G07	AG-325-L02_00307	AG-325-L02_NODE_1	280140	281264	-	1125	1	1132	892.00468	78.799	0.21201	1
AG-325-L02	AG-896-G07	AG-325-L02_00313	AG-325-L02_NODE_2	419	1606	+	1188	1	1186	933.00248	78.668	0.21332	1
AG-325-L02	AG-896-G07	AG-325-L02_00321	AG-325-L02_NODE_2	7097	8587	-	1491	1	552	472.99776	85.688	0.14312	1
AG-325-L02	AG-896-G07	AG-325-L02_00325	AG-325-L02_NODE_2	10716	13253	-	2538	1	2547	2004.9984	78.72	0.2128	1
AG-325-L02	AG-896-G07	AG-325-L02_00334	AG-325-L02_NODE_2	17893	18978	-	1086	1	1072	834.00528	77.799	0.22201	1
AG-325-L02	AG-896-G07	AG-325-L02_00377	AG-325-L02_NODE_2	52126	52950	-	825	1	818	600.003	73.35	0.2665	1
AG-325-L02	AG-896-G07	AG-325-L02_00383	AG-325-L02_NODE_2	58491	60362	+	1872	1	1890	1450.008	76.72	0.2328	1
AG-325-L02	AG-896-G07	AG-325-L02_00389	AG-325-L02_NODE_2	64076	66625	-	2550	1	2036	1508.00412	74.067	0.25933	1
AG-325-L02	AG-896-G07	AG-325-L02_00402	AG-325-L02_NODE_2	77059	78984	-	1926	1	1932	1563.00732	80.901	0.19099	1
AG-325-L02	AG-896-G07	AG-325-L02_00410	AG-325-L02_NODE_2	86812	87813	+	1002	1	1006	748.99718	74.453	0.25547	1
AG-325-L02	AG-896-G07	AG-325-L02_00417	AG-325-L02_NODE_2	92629	93624	+	996	1	963	749.00214	77.778	0.22222	1
AG-325-L02	AG-896-G07	AG-325-L02_00425	AG-325-L02_NODE_2	101354	103426	+	2073	1	2076	1674.99984	80.684	0.19316	1
AG-325-L02	AG-896-G07	AG-325-L02_00443	AG-325-L02_NODE_2	118954	119655	-	702	1	339	258.99939	76.401	0.23599	1
AG-325-L02	AG-896-G07	AG-325-L02_00450	AG-325-L02_NODE_2	123896	124453	+	558	1	526	411.00062	78.137	0.21863	1
AG-325-L02	AG-896-G07	AG-325-L02_00456	AG-325-L02_NODE_2	128248	129120	-	873	1	555	459.00165	82.703	0.17297	1
AG-325-L02	AG-896-G07	AG-325-L02_00457	AG-325-L02_NODE_2	129077	129403	-	327	1	167	139.99944	83.832	0.16168	1
AG-325-L02	AG-896-G07	AG-325-L02_00459	AG-325-L02_NODE_2	129818	132286	-	2469	1	2245	1670.0106	74.388	0.25612	1
AG-325-L02	AG-896-G07	AG-325-L02_00472	AG-325-L02_NODE_2	148130	149284	+	1155	1	1153	865.00366	75.022	0.24978	1
AG-325-L02	AG-896-G07	AG-325-L02_00473	AG-325-L02_NODE_2	149285	151204	+	1920	1	1914	1535.00886	80.199	0.19801	1
AG-325-L02	AG-896-G07	AG-325-L02_00477	AG-325-L02_NODE_2	152413	153480	+	1068	1	1076	869.9998	80.855	0.19145	1
AG-325-L02	AG-896-G07	AG-325-L02_00479	AG-325-L02_NODE_2	155889	157697	+	1809	1	1791	1442.00574	80.514	0.19486	1
AG-325-L02	AG-896-G07	AG-325-L02_00531	AG-325-L02_NODE_2	198443	199246	-	804	1	760	578.0028	76.053	0.23947	1
AG-325-L02	AG-896-G07	AG-325-L02_00554	AG-325-L02_NODE_2	219268	220245	+	978	1	844	643.99732	76.303	0.23697	1
AG-325-L02	AG-896-G07	AG-325-L02_00559	AG-325-L02_NODE_2	225418	226629	+	1212	1	1167	885.99807	75.921	0.24079	1
AG-325-L02	AG-896-G07	AG-325-L02_00602	AG-325-L02_NODE_3	774	2042	-	1269	1	1190	970.0047	81.513	0.18487	1
AG-325-L02	AG-896-G07	AG-325-L02_00620	AG-325-L02_NODE_3	12329	13423	-	1095	1	1087	869.00215	79.945	0.20055	1
AG-325-L02	AG-896-G07	AG-325-L02_00634	AG-325-L02_NODE_3	23713	24879	+	1167	1	1172	937.00228	79.949	0.20051	1
AG-325-L02	AG-896-G07	AG-325-L02_00667	AG-325-L02_NODE_3	59207	61066	-	1860	1	1869	1526.99169	81.701	0.18299	1
AG-325-L02	AG-896-G07	AG-325-L02_00677	AG-325-L02_NODE_3	68593	69711	-	1119	1	1111	854.00348	76.868	0.23132	1
AG-325-L02	AG-896-G07	AG-325-L02_00679	AG-325-L02_NODE_3	69916	70689	+	774	1	756	577.9998	76.455	0.23545	1
AG-325-L02	AG-896-G07	AG-325-L02_00717	AG-325-L02_NODE_3	100147	101751	-	1605	1	1612	1322.0012	82.01	0.1799	1
AG-325-L02	AG-896-G07	AG-325-L02_00718	AG-325-L02_NODE_3	101790	102743	-	954	1	956	763.00272	79.812	0.20188	1
AG-325-L02	AG-896-G07	AG-325-L02_00726	AG-325-L02_NODE_4	1377	3038	+	1662	1	1662	1329.99888	80.024	0.19976	1
AG-325-L02	AG-896-G07	AG-325-L02_00761	AG-325-L02_NODE_4	33905	35446	-	1542	1	996	731.00424	73.394	0.26606	1
AG-325-L02	AG-896-G07	AG-325-L02_00767	AG-325-L02_NODE_4	41465	42505	+	1041	1	1041	897.99783	86.263	0.13737	1
AG-325-L02	AG-896-G07	AG-325-L02_00768	AG-325-L02_NODE_4	42509	43390	+	882	1	883	744.99593	84.371	0.15629	1
AG-325-L02	AG-896-G07	AG-325-L02_00779	AG-325-L02_NODE_4	53780	54895	+	1116	1	991	754.00235	76.085	0.23915	1
AG-325-L02	AG-896-G07	AG-325-L02_00793	AG-325-L02_NODE_4	64611	65483	-	873	1	883	704.99603	79.841	0.20159	1
AG-325-L02	AG-896-G07	AG-325-L02_00797	AG-325-L02_NODE_4	69670	71070	-	1401	1	1423	1072.99892	75.404	0.24596	1
AG-325-L02	AG-896-G07	AG-325-L02_00801	AG-325-L02_NODE_4	76154	77314	-	1161	1	1168	897.00064	76.798	0.23202	1
AG-325-L02	AG-896-G07	AG-325-L02_00802	AG-325-L02_NODE_4	77317	78282	-	966	1	938	754.00192	80.384	0.19616	1
AG-325-L02	AG-896-G07	AG-325-L02_00814	AG-325-L02_NODE_5	5809	7845	-	2037	1	1316	992.0008	75.38	0.2462	1
AG-325-L02	AG-896-G07	AG-325-L02_00819	AG-325-L02_NODE_5	12020	13009	-	990	1	980	784.0	80.0	0.2	1
AG-325-L02	AG-896-G07	AG-325-L02_00822	AG-325-L02_NODE_5	14086	15396	+	1311	1	1297	982.9963	75.79	0.2421	1
AG-325-L02	AG-896-G07	AG-325-L02_00834	AG-325-L02_NODE_5	24980	27667	+	2688	1	2633	2018.01019	76.643	0.23357	1
AG-325-L02	AG-896-G07	AG-325-L02_00835	AG-325-L02_NODE_5	27677	28954	-	1278	1	1281	1041.00465	81.265	0.18735	1
AG-325-L02	AG-896-G07	AG-325-L02_00842	AG-325-L02_NODE_5	33803	36469	+	2667	1	2677	2142.99204	80.052	0.19948	1
AG-325-L02	AG-896-G07	AG-325-L02_00843	AG-325-L02_NODE_5	36461	37675	-	1215	1	1216	979.0016	80.51	0.1949	1
AG-325-L02	AG-896-G07	AG-325-L02_00855	AG-325-L02_NODE_5	47574	48659	+	1086	1	1078	862.00114	79.963	0.20037	1
AG-325-L02	AG-896-G07	AG-325-L02_00856	AG-325-L02_NODE_5	48759	49874	+	1116	1	1108	905.00332	81.679	0.18321	1
AG-325-L02	AG-896-G07	AG-325-L02_00867	AG-325-L02_NODE_5	60260	62929	+	2670	1	2422	1901.00358	78.489	0.21511	1
AG-325-L02	AG-896-G07	AG-325-L02_00879	AG-325-L02_NODE_6	6079	7269	+	1191	1	1193	989.99912	82.984	0.17016	1
AG-325-L02	AG-896-G07	AG-325-L02_00886	AG-325-L02_NODE_6	10166	14254	+	4089	2	3952	3171.0132	80.238188	0.19761812	1
AG-325-L02	AG-896-G07	AG-325-L02_00887	AG-325-L02_NODE_6	14257	18420	+	4164	1	4116	3263.00016	79.276	0.20724	1
AG-325-L02	AG-896-G07	AG-325-L02_00888	AG-325-L02_NODE_6	18530	18955	+	426	1	424	355.99888	83.962	0.16038	1
AG-325-L02	AG-896-G07	AG-325-L02_00897	AG-325-L02_NODE_6	24595	24990	+	396	1	373	291.99932	78.284	0.21716	1
AG-325-L02	AG-896-G07	AG-325-L02_00925	AG-325-L02_NODE_6	43475	44053	-	579	1	566	412.99888	72.968	0.27032	1
AG-325-L02	AG-896-G07	AG-325-L02_00930	AG-325-L02_NODE_6	47118	48575	+	1458	1	1419	1111.00605	78.295	0.21705	1
AG-325-L02	AG-896-G07	AG-325-L02_00933	AG-325-L02_NODE_7	2036	3811	-	1776	1	1031	776.00277	75.267	0.24733	1
AG-325-L02	AG-896-G07	AG-325-L02_00939	AG-325-L02_NODE_7	10423	11370	+	948	1	930	740.9961	79.677	0.20323	1
AG-325-L02	AG-896-G07	AG-325-L02_00957	AG-325-L02_NODE_7	27261	27821	+	561	1	574	445.998	77.7	0.223	1
AG-325-L02	AG-896-G07	AG-325-L02_00960	AG-325-L02_NODE_7	29651	30910	-	1260	1	1232	1011.00384	82.062	0.17938	1
AG-325-L02	AG-896-G07	AG-325-L02_00968	AG-325-L02_NODE_8	3475	4035	-	561	1	563	448.00162	79.574	0.20426	1
AG-325-L02	AG-896-G07	AG-325-L02_00971	AG-325-L02_NODE_8	7107	7559	-	453	1	361	311.0015	86.15	0.1385	1
AG-325-L02	AG-896-G07	AG-325-L02_00977	AG-325-L02_NODE_8	13951	15210	-	1260	1	1148	875.0056	76.22	0.2378	1
AG-325-L02	AG-896-G07	AG-325-L02_00980	AG-325-L02_NODE_8	16181	16381	-	201	1	202	167.99936	83.168	0.16832	1
AG-325-L02	AG-896-G07	AG-325-L02_00994	AG-325-L02_NODE_9	282	968	-	687	1	556	439.00092	78.957	0.21043	1
AG-325-L02	AG-896-G07	AG-325-L02_00996	AG-325-L02_NODE_9	1405	2763	-	1359	1	1364	1086.00316	79.619	0.20381	1
AG-325-L02	AG-896-G07	AG-325-L02_01008	AG-325-L02_NODE_9	12766	14139	-	1374	1	1389	1063.0017	76.53	0.2347	1
AG-325-L02	AG-896-G07	AG-325-L02_01009	AG-325-L02_NODE_9	14180	15346	-	1167	1	1167	910.00326	77.978	0.22022	1
AG-325-L02	AG-896-G07	AG-325-L02_01012	AG-325-L02_NODE_9	17674	18186	-	513	1	93	81.99996	88.172	0.11828	1
AG-325-L02	AG-896-G07	AG-325-L02_01018	AG-325-L02_NODE_9	21605	22312	-	708	1	647	496.99952	76.816	0.23184	1
AG-325-L02	AG-896-G07	AG-325-L02_01027	AG-325-L02_NODE_10	4126	4959	-	834	1	848	665.0016	78.42	0.2158	1
AG-325-L02	AG-896-G07	AG-325-L02_01031	AG-325-L02_NODE_10	6688	7500	+	813	1	767	597.99922	77.966	0.22034	1
AG-325-L02	AG-896-G07	AG-325-L02_01032	AG-325-L02_NODE_10	7503	9137	+	1635	1	1604	1339.00316	83.479	0.16521	1
AG-325-L02	AG-896-G07	AG-325-L02_01036	AG-325-L02_NODE_10	10730	11518	+	789	1	785	615.0004	78.344	0.21656	1
AG-325-L02	AG-896-G07	AG-325-L02_01038	AG-325-L02_NODE_10	12183	13556	+	1374	1	1375	1112.00375	80.873	0.19127	1
AG-325-L02	AG-896-G07	AG-325-L02_01039	AG-325-L02_NODE_10	13553	14041	+	489	1	466	369.99934	79.399	0.20601	1
AG-325-L02	AG-896-G07	AG-325-L02_01066	AG-325-L02_NODE_12	56	1309	+	1254	1	1186	946.00104	79.764	0.20236	1
AG-325-L02	AG-896-G07	AG-325-L02_01070	AG-325-L02_NODE_12	1813	2181	+	369	1	368	289.00144	78.533	0.21467	1
AG-325-L02	AG-896-G07	AG-325-L02_01071	AG-325-L02_NODE_12	2191	2706	+	516	1	482	407.0008	84.44	0.1556	1
AG-325-L02	AG-896-G07	AG-325-L02_01073	AG-325-L02_NODE_12	3297	4472	+	1176	1	1178	962.00192	81.664	0.18336	1
AG-325-L02	AG-896-G07	AG-325-L02_01074	AG-325-L02_NODE_12	4469	5077	+	609	1	520	406.0004	78.077	0.21923	1
AG-325-L02	AG-896-G07	AG-325-L02_01075	AG-325-L02_NODE_12	5070	6398	+	1329	1	1341	1076.00499	80.239	0.19761	1
AG-325-L02	AG-896-G07	AG-325-L02_01076	AG-325-L02_NODE_12	6391	8424	+	2034	1	1809	1332.99783	73.687	0.26313	1
AG-325-L02	AG-896-G07	AG-325-L02_01078	AG-325-L02_NODE_12	9427	9912	+	486	1	452	373.99836	82.743	0.17257	1
AG-325-L02	AG-896-G07	AG-325-L02_01091	AG-325-L02_NODE_13	9535	11193	-	1659	1	1190	920.0009	77.311	0.22689	1
AG-325-L02	AG-896-G07	AG-325-L02_01108	AG-325-L02_NODE_15	5408	6874	+	1467	1	1043	824.00129	79.003	0.20997	1
AG-325-L02	AG-896-G07	AG-325-L02_01129	AG-325-L02_NODE_20	1881	2168	-	288	1	277	232.00135	83.755	0.16245	1
AG-325-L05	AG-898-C07	AG-325-L05_00002	AG-325-L05_NODE_1	1308	2183	+	876	1	882	731.0016	82.88	0.1712	1
AG-325-L05	AG-898-C07	AG-325-L05_00003	AG-325-L05_NODE_1	2186	3604	+	1419	1	1407	1193.99427	84.861	0.15139	1
AG-325-L05	AG-898-C07	AG-325-L05_00008	AG-325-L05_NODE_1	5968	6489	-	522	1	530	410.9991	77.547	0.22453	1
AG-325-L05	AG-898-C07	AG-325-L05_00014	AG-325-L05_NODE_1	10578	11297	-	720	1	730	533.0022	73.014	0.26986	1
AG-325-L05	AG-898-C07	AG-325-L05_00016	AG-325-L05_NODE_1	11901	13016	-	1116	1	1115	884.00545	79.283	0.20717	1
AG-325-L05	AG-898-C07	AG-325-L05_00023	AG-325-L05_NODE_1	20395	21438	+	1044	1	1057	800.00102	75.686	0.24314	1
AG-325-L05	AG-898-C07	AG-325-L05_00024	AG-325-L05_NODE_1	21499	21813	+	315	1	294	248.00076	84.354	0.15646	1
AG-325-L05	AG-898-C07	AG-325-L05_00030	AG-325-L05_NODE_1	26689	27252	+	564	1	568	459.0008	80.81	0.1919	1
AG-325-L05	AG-898-C07	AG-325-L05_00034	AG-325-L05_NODE_1	31372	32913	+	1542	1	1442	1088.9984	75.52	0.2448	1
AG-325-L05	AG-898-C07	AG-325-L05_00051	AG-325-L05_NODE_1	46676	47986	-	1311	1	1301	1085.99674	83.474	0.16526	1
AG-325-L05	AG-898-C07	AG-325-L05_00053	AG-325-L05_NODE_1	48460	48906	-	447	1	448	382.99968	85.491	0.14509	1
AG-325-L05	AG-898-C07	AG-325-L05_00062	AG-325-L05_NODE_1	56620	58032	+	1413	1	1416	1147.99368	81.073	0.18927	1
AG-325-L05	AG-898-C07	AG-325-L05_00067	AG-325-L05_NODE_1	61694	63520	-	1827	1	1827	1515.00321	82.923	0.17077	1
AG-325-L05	AG-898-C07	AG-325-L05_00070	AG-325-L05_NODE_1	65384	67045	-	1662	1	1665	1405.9926	84.444	0.15556	1
AG-325-L05	AG-898-C07	AG-325-L05_00071	AG-325-L05_NODE_1	67069	67359	-	291	1	291	258.0006	88.66	0.1134	1
AG-325-L05	AG-898-C07	AG-325-L05_00072	AG-325-L05_NODE_1	67483	68301	+	819	1	829	608.99998	73.462	0.26538	1
AG-325-L05	AG-898-C07	AG-325-L05_00090	AG-325-L05_NODE_1	84123	84785	-	663	1	642	517.9977	80.685	0.19315	1
AG-325-L05	AG-898-C07	AG-325-L05_00093	AG-325-L05_NODE_1	86379	88013	+	1635	1	1601	1347.00135	84.135	0.15865	1
AG-325-L05	AG-898-C07	AG-325-L05_00096	AG-325-L05_NODE_1	89064	89597	+	534	1	524	418.00004	79.771	0.20229	1
AG-325-L05	AG-898-C07	AG-325-L05_00107	AG-325-L05_NODE_1	97654	98505	-	852	1	863	650.00297	75.319	0.24681	1
AG-325-L05	AG-898-C07	AG-325-L05_00108	AG-325-L05_NODE_1	98505	99965	-	1461	1	1456	1146.00304	78.709	0.21291	1
AG-325-L05	AG-898-C07	AG-325-L05_00110	AG-325-L05_NODE_1	100493	101083	-	591	1	597	448.99773	75.209	0.24791	1
AG-325-L05	AG-898-C07	AG-325-L05_00112	AG-325-L05_NODE_1	101335	102069	-	735	1	736	624.99648	84.918	0.15082	1
AG-325-L05	AG-898-C07	AG-325-L05_00113	AG-325-L05_NODE_1	102080	102355	-	276	1	275	229.999	83.636	0.16364	1
AG-325-L05	AG-898-C07	AG-325-L05_00127	AG-325-L05_NODE_1	114828	115655	-	828	1	752	604.99904	80.452	0.19548	1
AG-325-L05	AG-898-C07	AG-325-L05_00138	AG-325-L05_NODE_1	125983	126744	-	762	1	778	546.99624	70.308	0.29692	1
AG-325-L05	AG-898-C07	AG-325-L05_00147	AG-325-L05_NODE_1	132810	134675	-	1866	1	1869	1549.00851	82.879	0.17121	1
AG-325-L05	AG-898-C07	AG-325-L05_00151	AG-325-L05_NODE_1	136746	138920	-	2175	1	2176	1865.00608	85.708	0.14292	1
AG-325-L05	AG-898-C07	AG-325-L05_00152	AG-325-L05_NODE_1	138956	140143	+	1188	1	1182	989.99592	83.756	0.16244	1
AG-325-L05	AG-898-C07	AG-325-L05_00154	AG-325-L05_NODE_1	141099	142046	-	948	1	948	793.002	83.65	0.1635	1
AG-325-L05	AG-898-C07	AG-325-L05_00157	AG-325-L05_NODE_1	143674	146898	-	3225	1	3235	2682.0091	82.906	0.17094	1
AG-325-L05	AG-898-C07	AG-325-L05_00161	AG-325-L05_NODE_1	150498	152318	+	1821	1	1830	1526.0004	83.388	0.16612	1
AG-325-L05	AG-898-C07	AG-325-L05_00168	AG-325-L05_NODE_1	155757	157217	+	1461	1	1039	836.99762	80.558	0.19442	1
AG-325-L05	AG-898-C07	AG-325-L05_00171	AG-325-L05_NODE_1	158548	160233	+	1686	1	1055	789.00285	74.787	0.25213	1
AG-325-L05	AG-898-C07	AG-325-L05_00183	AG-325-L05_NODE_1	173228	174067	+	840	1	503	360.99807	71.769	0.28231	1
AG-325-L05	AG-898-C07	AG-325-L05_00190	AG-325-L05_NODE_1	183144	183977	-	834	1	837	651.00186	77.778	0.22222	1
AG-325-L05	AG-898-C07	AG-325-L05_00194	AG-325-L05_NODE_1	186052	187359	+	1308	1	1313	1045.00357	79.589	0.20411	1
AG-325-L05	AG-898-C07	AG-325-L05_00195	AG-325-L05_NODE_1	187363	189264	-	1902	1	1893	1556.9925	82.25	0.1775	1
AG-325-L05	AG-898-C07	AG-325-L05_00196	AG-325-L05_NODE_1	189479	190252	+	774	1	755	630.9988	83.576	0.16424	1
AG-325-L05	AG-898-C07	AG-325-L05_00203	AG-325-L05_NODE_1	195319	196599	-	1281	1	1265	1086.0025	85.85	0.1415	1
AG-325-L05	AG-898-C07	AG-325-L05_00204	AG-325-L05_NODE_1	196577	196972	-	396	1	383	349.00109	91.123	0.08877	1
AG-325-L05	AG-898-C07	AG-325-L05_00253	AG-325-L05_NODE_2	44444	44569	+	126	1	126	106.00002	84.127	0.15873	1
AG-325-L05	AG-898-C07	AG-325-L05_00263	AG-325-L05_NODE_2	52607	52813	-	207	1	208	184.00096	88.462	0.11538	1
AG-325-L05	AG-898-C07	AG-325-L05_00268	AG-325-L05_NODE_2	55009	55623	-	615	1	523	391.00003	74.761	0.25239	1
AG-325-L05	AG-898-C07	AG-325-L05_00273	AG-325-L05_NODE_2	60797	61120	+	324	1	330	261.0003	79.091	0.20909	1
AG-325-L05	AG-898-C07	AG-325-L05_00277	AG-325-L05_NODE_2	62911	63633	+	723	1	719	563.99798	78.442	0.21558	1
AG-325-L05	AG-898-C07	AG-325-L05_00281	AG-325-L05_NODE_2	65329	66090	+	762	1	499	409.00036	81.964	0.18036	1
AG-325-L05	AG-898-C07	AG-325-L05_00290	AG-325-L05_NODE_2	75204	76496	+	1293	1	1290	1041.0042	80.698	0.19302	1
AG-325-L05	AG-898-C07	AG-325-L05_00304	AG-325-L05_NODE_2	87663	88544	+	882	1	840	691.0008	82.262	0.17738	1
AG-325-L05	AG-898-C07	AG-325-L05_00306	AG-325-L05_NODE_2	90611	93280	+	2670	1	2663	2151.99693	80.811	0.19189	1
AG-325-L05	AG-898-C07	AG-325-L05_00310	AG-325-L05_NODE_2	96592	97539	+	948	1	949	788.9986	83.14	0.1686	1
AG-325-L05	AG-898-C07	AG-325-L05_00313	AG-325-L05_NODE_2	99501	100370	+	870	1	787	644.0021	81.83	0.1817	1
AG-325-L05	AG-898-C07	AG-325-L05_00315	AG-325-L05_NODE_2	100565	101974	+	1410	1	1427	1101.00185	77.155	0.22845	1
AG-325-L05	AG-898-C07	AG-325-L05_00334	AG-325-L05_NODE_2	119514	120752	+	1239	1	1231	1069.0004	86.84	0.1316	1
AG-325-L05	AG-898-C07	AG-325-L05_00336	AG-325-L05_NODE_2	121705	122754	+	1050	1	1021	845.00002	82.762	0.17238	1
AG-325-L05	AG-898-C07	AG-325-L05_00341	AG-325-L05_NODE_2	125290	126204	+	915	1	795	619.99665	77.987	0.22013	1
AG-325-L05	AG-898-C07	AG-325-L05_00344	AG-325-L05_NODE_2	127926	128714	+	789	1	783	641.99736	81.992	0.18008	1
AG-325-L05	AG-898-C07	AG-325-L05_00346	AG-325-L05_NODE_2	130213	131583	+	1371	1	1382	1106.00078	80.029	0.19971	1
AG-325-L05	AG-898-C07	AG-325-L05_00347	AG-325-L05_NODE_2	131710	132891	-	1182	1	1116	929.00304	83.244	0.16756	1
AG-325-L05	AG-898-C07	AG-325-L05_00379	AG-325-L05_NODE_2	161559	163040	-	1482	1	1485	1223.00145	82.357	0.17643	1
AG-325-L05	AG-898-C07	AG-325-L05_00380	AG-325-L05_NODE_2	162994	163539	-	546	1	550	422.9995	76.909	0.23091	1
AG-325-L05	AG-898-C07	AG-325-L05_00383	AG-325-L05_NODE_2	167438	167896	-	459	1	424	330.99984	78.066	0.21934	1
AG-325-L05	AG-898-C07	AG-325-L05_00386	AG-325-L05_NODE_2	168612	169538	+	927	1	206	169.00034	82.039	0.17961	1
AG-325-L05	AG-898-C07	AG-325-L05_00408	AG-325-L05_NODE_3	7556	9367	-	1812	1	1769	1534.00604	86.716	0.13284	1
AG-325-L05	AG-898-C07	AG-325-L05_00410	AG-325-L05_NODE_3	9754	10377	+	624	1	613	473.00306	77.162	0.22838	1
AG-325-L05	AG-898-C07	AG-325-L05_00414	AG-325-L05_NODE_3	12851	13924	-	1074	1	1073	865.99684	80.708	0.19292	1
AG-325-L05	AG-898-C07	AG-325-L05_00417	AG-325-L05_NODE_3	15600	16685	+	1086	1	1093	887.99692	81.244	0.18756	1
AG-325-L05	AG-898-C07	AG-325-L05_00422	AG-325-L05_NODE_3	18325	19323	-	999	1	817	631.99852	77.356	0.22644	1
AG-325-L05	AG-898-C07	AG-325-L05_00428	AG-325-L05_NODE_3	24950	26440	+	1491	1	1492	1266.00676	84.853	0.15147	1
AG-325-L05	AG-898-C07	AG-325-L05_00438	AG-325-L05_NODE_3	34185	34946	+	762	1	764	603.00228	78.927	0.21073	1
AG-325-L05	AG-898-C07	AG-325-L05_00445	AG-325-L05_NODE_3	37776	39650	+	1875	1	1810	1391.0031	76.851	0.23149	1
AG-325-L05	AG-898-C07	AG-325-L05_00448	AG-325-L05_NODE_3	40534	41046	+	513	1	470	373.9978	79.574	0.20426	1
